test,100, 250, 500, 750, 1000
30, 0.011605,0.01126881,0.01093894,0.01042185,0.01089289
22.5, 0.00853006,0.00800853,0.00849701,0.00923145,0.00904009
15, 0.0144858,0.01686549,0.01579367,0.0168962,0.0166695
10, 0.02432733,0.02194993,0.02321255,0.02149006,0.02152525
