0,31.5,63,125,250,500,1000,2000,4000,8000,16000
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.006,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0
0.022,0,0,0,0,0,0,0,0,0,0
0.024,0,0,0,0,0,0,0,0,0,0
0.026,0,0,0,0,0,0,0,0,0,0
0.028,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0,0
0.034,0,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0,0
0.038,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0
0.042,0,0,0,0,0,0,0,0,0,0
0.044,0,0,0,0,0,0,0,0,0,0
0.046,0,0,0,0,0,0,0,0,0,0
0.048,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0
0.052,0,0,0,0,0,0,0,0,0,0
0.054,0,0,0,0,0,0,0,0,0,0
0.056,0,0,0,0,0,0,0,0,0,0
0.058,0,0,0,0,0,0,0,0,0,0
0.06,0,0,2.91426e-06,1.12122e-05,3.08704e-05,3.78503e-05,4.40434e-05,4.60177e-05,0,0
0.062,0,0,8.01949e-06,3.13196e-05,8.61842e-05,0.000105793,0.000123009,0.00012783,0,0
0.064,0,0,6.83153e-06,2.482e-05,6.98405e-05,8.58713e-05,9.97598e-05,0.000104176,0,0
0.066,0,0,5.69347e-06,2.0966e-05,5.88258e-05,7.29933e-05,8.43636e-05,8.75797e-05,0,0
0.068,0,0,4.79698e-06,1.82339e-05,5.01113e-05,6.24226e-05,7.21761e-05,7.51534e-05,0,0
0.07,0,0,3.98961e-06,1.58882e-05,4.3419e-05,5.34281e-05,6.2037e-05,6.44661e-05,0,0
