0,31.5,63,125,250,500,1000,2000,4000,8000,16000
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.006,0,0,0,0,0,0,0,0,0,0
0.008,0.09736,0.09738,0.0973861,0.0972861,0.097382,0.0975515,0.0972866,0.0972964,0.097385,0.0972436
0.01,0.0069646,0.00699724,0.00696234,0.00691857,0.00687854,0.00695729,0.00691294,0.00695994,0.00691414,0.00694005
0.012,0.00277766,0.00275219,0.00279823,0.00276664,0.0027807,0.00276486,0.00279167,0.0027899,0.00278037,0.00276265
0.014,0.00130121,0.00130297,0.00131691,0.00129762,0.00129936,0.00130248,0.00129557,0.0013057,0.00129564,0.00129492
0.016,0.000676457,0.000671637,0.000683683,0.000688557,0.000681517,0.000682265,0.000677984,0.000677671,0.000685443,0.000672326
0.018,0.000384948,0.000382418,0.000381398,0.000388755,0.000388464,0.000377973,0.000378323,0.00037827,0.000381153,0.000380194
0.02,0.000226631,0.000229813,0.000228023,0.000230363,0.000226954,0.000230035,0.000227511,0.000232163,0.000235834,0.000232602
0.022,0.000144146,0.000143409,0.000146752,0.000144363,0.000146152,0.000142324,0.000144729,0.0001437,0.000140413,0.000142784
0.024,9.34993e-05,9.60453e-05,9.32019e-05,9.25536e-05,9.3193e-05,9.35221e-05,9.23871e-05,9.41761e-05,9.6984e-05,9.4661e-05
0.026,6.44644e-05,6.47398e-05,6.48407e-05,6.33581e-05,6.41614e-05,6.29499e-05,6.26743e-05,6.3503e-05,6.44906e-05,6.30048e-05
0.028,4.36825e-05,4.53756e-05,4.48334e-05,4.38656e-05,4.49765e-05,4.49689e-05,4.47493e-05,4.39985e-05,4.35371e-05,4.45757e-05
0.03,3.09406e-05,3.15438e-05,3.09164e-05,3.13597e-05,3.11739e-05,3.11586e-05,3.11519e-05,3.21169e-05,3.07488e-05,3.13255e-05
0.032,2.34233e-05,2.30019e-05,2.28013e-05,2.40239e-05,2.30686e-05,2.30274e-05,2.33259e-05,2.25922e-05,2.38331e-05,2.24391e-05
0.034,1.73289e-05,1.76931e-05,0.0108665,0.00806168,0.00427218,0.00358552,0.0030278,0.00290439,1.72369e-05,1.73141e-05
0.036,1.14721e-05,1.16962e-05,0.0104957,0.00960442,0.00868471,0.00856789,0.0084877,0.00839319,1.12215e-05,1.15593e-05
0.038,7.46249e-06,7.50691e-06,0.00138311,0.00326371,0.00535039,0.00589832,0.00622496,0.00637488,7.56757e-06,7.58879e-06
0.04,5.52268e-06,5.56255e-06,0.00104562,0.0025814,0.00422525,0.0046879,0.00493557,0.00504385,5.44522e-06,4.97877e-06
0.042,3.72104e-06,3.68064e-06,0.000801372,0.00197506,0.00341231,0.00372443,0.00392349,0.00398249,3.83352e-06,3.79704e-06
0.044,2.92155e-06,3.02306e-06,0.000590916,0.00147749,0.00260463,0.00284654,0.00292935,0.00300521,2.90069e-06,2.85345e-06
0.046,2.08819e-06,2.25192e-06,0.000482967,0.00120172,0.00203027,0.00219096,0.00231011,0.00231508,2.01477e-06,2.22242e-06
0.048,1.72155e-06,1.77574e-06,0.00035076,0.000900868,0.00149969,0.00167933,0.00174867,0.00178248,1.74057e-06,1.72657e-06
0.05,1.32044e-06,1.32839e-06,0.000278138,0.000709127,0.00121901,0.00125997,0.00139849,0.00136542,1.3126e-06,1.30306e-06
0.052,9.96881e-07,9.97505e-07,0.000215593,0.000533448,0.00091575,0.00101403,0.0010851,0.00107997,1.03347e-06,1.06464e-06
0.054,8.95744e-07,8.42653e-07,0.000158989,0.000409771,0.000720502,0.000780959,0.000838169,0.000847961,8.27687e-07,7.66206e-07
0.056,6.59739e-07,6.6405e-07,0.000120049,0.000323412,0.00055152,0.000636522,0.000637486,0.000651324,5.96148e-07,6.2573e-07
0.058,5.3515e-07,5.0588e-07,9.89817e-05,0.000250998,0.000435849,0.000463978,0.000499071,0.000501577,5.267e-07,5.25815e-07
0.06,4.22276e-07,4.20812e-07,7.51368e-05,0.000189649,0.000346399,0.000381599,0.000392918,0.000393272,4.08945e-07,4.09871e-07
0.062,3.39121e-07,3.44219e-07,6.19302e-05,0.000153683,0.000277339,0.000299746,0.000298479,0.000314344,3.80342e-07,2.95397e-07
0.064,2.93385e-07,2.84032e-07,4.916e-05,0.00011958,0.000236492,0.000223036,0.000262912,0.000247326,2.76512e-07,2.66402e-07
0.066,2.38105e-07,2.33135e-07,4.77156e-05,0.000104315,0.000184133,0.000195837,0.00021049,0.00021002,2.40204e-07,2.51797e-07
0.068,1.87139e-07,1.74702e-07,0.00201465,0.000958827,0.000264213,0.000190552,0.000183628,0.000191273,2.20389e-07,1.76985e-07
0.07,1.65623e-07,1.75158e-07,0.00221424,0.00153956,0.000715928,0.00059428,0.000467582,0.000445998,1.62035e-07,1.65763e-07
0.072,1.29244e-07,1.49834e-07,0.000413393,0.000818872,0.00080297,0.000814713,0.000754468,0.000746921,1.17637e-07,1.43956e-07
0.074,1.24021e-07,1.17852e-07,0.000351227,0.000720707,0.000901615,0.000901766,0.00093651,0.000884121,1.109e-07,1.13003e-07
0.076,8.04813e-08,1.23604e-07,0.000298668,0.000656328,0.000886662,0.000917125,0.000942562,0.000944753,9.86956e-08,9.55187e-08
0.078,9.10576e-08,8.17654e-08,0.000247772,0.000534619,0.000827749,0.000890961,0.000908007,0.000898955,8.47392e-08,8.08105e-08
