,plane_size,col_raw,col_abs,col_rel,dif_raw,dif_abs,dif_rel,var_raw_15,var_abs_15,var_rel_15,var_abs_15,var_raw_30,var_abs_30,var_rel_30,var_abs_30,var_raw_45,var_abs_45,var_rel_45,var_abs_45,var_raw_60,var_abs_60,var_rel_60,var_abs_60,var_raw_75,var_abs_75,var_rel_75,var_abs_75
0,8,1.6944795153225198,0.30552048467748016,15.276024233874008,1.73704611600945,0.2629538839905501,13.147694199527503,1.6715984963613306,0.260253156216806,13.471694675390179,0.260253156216806,1.576361291618618,0.15568951595025937,8.988738394388477,0.15568951595025937,1.320776325980866,0.09343723639222912,6.6070103468275665,0.09343723639222912,0.7967581636041499,0.20324183639585036,20.324183639585033,0.20324183639585036,0.09344511217988535,0.4241929780251561,81.94779056099391,0.4241929780251561
1,16,1.7443699685721343,0.25563003142786567,12.781501571393283,1.8322755928616143,0.16772440713838566,8.386220356919283,1.724932073294665,0.2069195792834717,10.710945584632697,0.2069195792834717,1.642264171007232,0.08978663656164532,5.183833878849701,0.08978663656164532,1.4195885083259772,-0.005374945952882015,-0.3800660731794062,-0.005374945952882015,1.0073197017727362,-0.007319701772735998,-0.7319701772735997,-0.007319701772735998,0.39380529926383384,0.12383279094120764,23.92265818231349,0.12383279094120764
2,24,1.7481194283701276,0.25188057162987243,12.594028581493621,1.8404674440968514,0.15953255590314863,7.976627795157432,1.728949778751238,0.20290187382689862,10.50297384667801,0.20290187382689862,1.6472601679710381,0.08479063959783928,4.895389859657305,0.08479063959783928,1.427097932805067,-0.012884370431971881,-0.9110625703766763,-0.012884370431971881,1.022831668786976,-0.022831668786975845,-2.283166878697584,-0.022831668786975845,0.5054460832151603,0.01219200698988121,2.355314885164621,0.01219200698988121
3,32,1.7488005474997912,0.2511994525002088,12.55997262501044,1.8420092634519438,0.15799073654805618,7.899536827402809,1.7296797606122665,0.20217189196587015,10.4651872050353,0.20217189196587015,1.6481682027815319,0.08388260478734555,4.842964445430094,0.08388260478734555,1.428460799866327,-0.014247237493231868,-1.0074318244639482,-0.014247237493231868,1.0255812904923776,-0.02558129049237734,-2.5581290492377335,-0.02558129049237734,0.5183332231518154,-0.0006951329467739242,-0.13428937319867154,-0.0006951329467739242
4,40,1.7489921924831981,0.25100780751680185,12.550390375840092,1.8424492203466143,0.1575507796533857,7.877538982669286,1.7298851612683024,0.20196649130983424,10.45455488470357,0.20196649130983424,1.6484237178688559,0.08362708970002153,4.8282122749852405,0.08362708970002153,1.4288441581410107,-0.014630595767915588,-1.0345393480292315,-0.014630595767915588,1.0263504467960616,-0.026350446796061355,-2.635044679606135,-0.026350446796061355,0.5214537447400817,-0.0038156545350401805,-0.7371278519184634,-0.0038156545350401805
5,48,1.7490620187716022,0.25093798122839783,12.546899061419891,1.8426106399090776,0.15738936009092241,7.869468004546121,1.7299600002551538,0.20189165232298278,10.450680933680905,0.20189165232298278,1.6485168177956357,0.08353398977324167,4.822837148206452,0.08353398977324167,1.42898382209064,-0.014770259717544754,-1.0444150806162396,-0.014770259717544754,1.0266301700535931,-0.026630170053592916,-2.663017005359291,-0.026630170053592916,0.5225372021409714,-0.004899111935929956,-0.946435748959156,-0.004899111935929956
6,56,1.7490921930168772,0.25090780698312276,12.545390349156138,1.8426806711308439,0.15731932886915612,7.865966443457806,1.7299923407826134,0.2018593117955232,10.449006864793864,0.2018593117955232,1.648557049737817,0.08349375783106039,4.820514355941613,0.08349375783106039,1.429044173123481,-0.014830610750385942,-1.048682543073601,-0.014830610750385942,1.0267509592323838,-0.026750959232383575,-2.675095923238357,-0.026750959232383575,0.5229966109751167,-0.005358520770075259,-1.0351867205044158,-0.005358520770075259
7,64,1.749106911123966,0.2508930888760339,12.544654443801695,1.8427149145231283,0.1572850854768717,7.864254273843585,1.7300081155665927,0.2018435370115439,10.44819030188862,0.2018435370115439,1.6485766737767218,0.08347413379215562,4.8193813615271885,0.08347413379215562,1.429073610040708,-0.014860047667612841,-1.0507640474524378,-0.014860047667612841,1.0268098569498434,-0.02680985694984317,-2.6809856949843165,-0.02680985694984317,0.5232187711523317,-0.005580680947290251,-1.0781047710533993,-0.005580680947290251
