0,31.5,63,125,250,500,1000,2000,4000,8000,16000
0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0
0.004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.005,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0
0.009,0.0956508,0.0956672,0.0957141,0.0955398,0.0956295,0.0957528,0.0954088,0.0957426,0.0957593,0.0953279
0.01,0.00434087,0.00429198,0.00430102,0.00427416,0.00431587,0.00430176,0.00430428,0.00435547,0.00431973,0.00432207
0.011,0.00264658,0.00263267,0.00265749,0.00263239,0.002595,0.00260207,0.00261778,0.00262378,0.0026184,0.00262168
0.012,0.00168598,0.00167876,0.00167487,0.00167875,0.00165634,0.00165283,0.00165668,0.00166637,0.00166496,0.0016678
0.013,0.00110439,0.00110807,0.00111656,0.00111176,0.00110048,0.0011111,0.0010962,0.00109869,0.00109698,0.00112075
0.014,0.000767324,0.000755529,0.000770882,0.000753881,0.000764524,0.000761139,0.000762937,0.000761313,0.000760539,0.000763308
0.015,0.000540145,0.000539314,0.000539284,0.000542469,0.000535174,0.000532916,0.000538142,0.000536407,0.000540396,0.000542285
0.016,0.000392066,0.000396044,0.000392324,0.000388867,0.000388073,0.0003855,0.000389355,0.000388198,0.000393014,0.000391453
0.017,0.000284175,0.000291006,0.000285385,0.000288018,0.000291434,0.000290534,0.000288601,0.000287298,0.000287028,0.000291316
0.018,0.000216185,0.000218074,0.000214136,0.000215065,0.000212658,0.000215329,0.000209659,0.000216437,0.000216167,0.000216238
0.019,0.000167181,0.000166301,0.00016525,0.000164452,0.000164073,0.000163141,0.000162914,0.000165131,0.000168244,0.000165337
0.02,0.000131172,0.000129212,0.000128248,0.000127697,0.000128071,0.000128283,0.000129541,0.000129656,0.000126558,0.000128363
0.021,9.96268e-05,0.000104395,0.00010066,0.000100666,0.000102196,0.000100099,0.000100295,0.000100484,0.0001016,0.000100691
